threshold,accuracy,precision,recall,f1
0.1,0.3875,0.37445610442794985,0.9959155888359428,0.5442708333333334
0.11,0.39225,0.37622233659289755,0.9952348536419333,0.546031746031746
0.12,0.3975,0.378203468806627,0.9945541184479237,0.5480120030007501
0.13,0.40425,0.3806788511749347,0.9925119128658951,0.5502925080203812
0.14,0.4125,0.3836810139952469,0.9891082368958475,0.5528919330289194
0.15,0.4165,0.38506510762689344,0.9863852961198094,0.5538990825688074
0.16,0.42175,0.3868632707774799,0.9823008849557522,0.5551067512983267
0.17,0.42675,0.38876889848812096,0.9802586793737236,0.5567369031509762
0.18,0.4345,0.39187346604854106,0.9782164737916951,0.5595794392523364
0.19,0.44125,0.39454845814977973,0.9754935330156569,0.5618506175259753
0.2,0.44825,0.39721448467966575,0.9707283866575902,0.5637477762403638
0.21,0.455,0.39983093829247673,0.9659632402995235,0.5655639697090474
0.22,0.46175,0.40261958997722097,0.9625595643294759,0.5677574784179884
0.23,0.472,0.40700028926815157,0.9577944179714091,0.5712545676004872
0.24,0.48275,0.4117647058823529,0.9530292716133424,0.5750667488190594
0.25,0.48975,0.4149821640903686,0.9503063308373043,0.5776950134492034
0.26,0.50075,0.42014519056261346,0.9455411844792376,0.5817801047120419
0.27,0.5115,0.4254534276052874,0.94213750850919,0.5861922914019483
0.28,0.5185,0.42848200312989043,0.9319264805990469,0.5870497427101201
0.29,0.5245,0.43107290671760584,0.921715452688904,0.5874186550976139
0.3,0.53575,0.4370538611291369,0.9169503063308373,0.5919578114700066
0.31,0.5425,0.44029110155474693,0.9060585432266848,0.5926090828138914
0.32,0.5505,0.4444819439757003,0.8965282505105514,0.5943140794223827
0.33,0.5565,0.4475764867652114,0.8863172226004085,0.594792142530836
0.34,0.565,0.4523390784382694,0.8754254594962559,0.5964749536178108
0.35,0.5715,0.45579213280404185,0.8597685500340367,0.595754716981132
0.36,0.577,0.4588409007013658,0.8461538461538461,0.595021541407372
0.37,0.582,0.46159667045024594,0.8304969366916269,0.5933852140077821
0.38,0.58625,0.46386946386946387,0.8127978216473791,0.5906505070492208
0.39,0.59075,0.4666136724960254,0.7991831177671885,0.5892095357590966
0.4,0.59925,0.47263071895424835,0.7876106194690266,0.5907582333418433
0.41,0.60825,0.4793597304128054,0.7746766507828454,0.5922456414259692
0.42,0.61175,0.4817073170731707,0.7528931245745405,0.5875166002656043
0.43,0.61825,0.48693693693693696,0.7358747447243023,0.5860666847384115
0.44,0.62525,0.4929840972871843,0.717494894486045,0.5844191849182145
0.45,0.63175,0.499031007751938,0.7011572498298162,0.5830738748938579
0.46,0.6385,0.5057934508816121,0.6834581347855684,0.5813549507817024
0.47,0.64475,0.5125918153200419,0.6650782845473111,0.578962962962963
0.48,0.65025,0.5192307692307693,0.6432947583390062,0.574642748555792
0.49,0.653,0.523289246693502,0.6194690265486725,0.5673316708229427
0.5,0.65725,0.529482551143201,0.5990469707283866,0.5621207282018524
0.51,0.6635,0.538899430740038,0.5799863852961198,0.5586885245901639
0.52,0.664,0.5414731254147312,0.5554799183117767,0.5483870967741935
0.53,0.66425,0.5444915254237288,0.5248468345813478,0.5344887348353553
0.54,0.6675,0.5512159174649963,0.5091899251191286,0.5293701344656758
0.55,0.67225,0.5613354037267081,0.4921715452688904,0.5244831338411317
0.56,0.6745,0.5692946058091286,0.46698434309053777,0.5130890052356021
0.57,0.6775,0.5783027121609798,0.4499659632402995,0.5061255742725881
0.58,0.6775,0.58264081255771,0.42954390742001364,0.4945141065830721
0.59,0.6765,0.5851996105160662,0.4091218515997277,0.48157051282051283
0.6,0.67775,0.5910931174089069,0.3975493533015657,0.47537647537647537
0.61,0.67875,0.6008771929824561,0.3730428863172226,0.4603107937841243
0.62,0.67975,0.6082949308755761,0.359428182437032,0.45186136071887034
0.63,0.68175,0.6203931203931204,0.3437712729748128,0.44240035041611914
0.64,0.679,0.6212319790301442,0.32266848196051734,0.42473118279569894
0.65,0.67925,0.6313559322033898,0.30428863172226006,0.41065686724850714
0.66,0.6805,0.6444780635400907,0.2899931926480599,0.4
0.67,0.679,0.6504065040650406,0.27229407760381213,0.3838771593090211
0.68,0.67875,0.6564625850340136,0.2627637848876787,0.37530384054448224
0.69,0.675,0.6556169429097606,0.2423417290673928,0.3538767395626243
0.7,0.67525,0.6706827309236948,0.2273655547991831,0.33960345704117945
0.71,0.67325,0.6784140969162996,0.20966643975493532,0.3203328133125325
0.72,0.672,0.6855791962174941,0.1974132062627638,0.30655391120507397
0.73,0.67,0.6915167095115681,0.18311776718856365,0.28955866523143164
0.74,0.666,0.69164265129683,0.16337644656228728,0.2643171806167401
0.75,0.6645,0.6990595611285266,0.15180394826412524,0.2494407158836689
0.76,0.66275,0.7127659574468085,0.13682777399591559,0.22958309537407195
0.77,0.657,0.6963562753036437,0.11708645336963922,0.20046620046620048
0.78,0.657,0.7194570135746606,0.10823689584751532,0.1881656804733728
0.79,0.653,0.7189189189189189,0.09053778080326753,0.1608222490931076
0.8,0.649,0.7018633540372671,0.07692307692307693,0.13865030674846626
0.81,0.64775,0.7142857142857143,0.06807351940095303,0.12430080795525171
0.82,0.64725,0.7377049180327869,0.06126616746085772,0.11313639220615965
0.83,0.64575,0.7653061224489796,0.05105513955071477,0.09572431397574985
0.84,0.646,0.8192771084337349,0.04628999319264806,0.08762886597938144
0.85,0.645,0.8656716417910447,0.039482641252552755,0.07552083333333333
0.86,0.64275,0.8703703703703703,0.031994554118447927,0.061720288903479976
0.87,0.64125,0.8863636363636364,0.02654867256637168,0.051553205551883675
0.88,0.63925,0.8823529411764706,0.02042205582028591,0.03992015968063872
0.89,0.6375,0.9130434782608695,0.014295439074200136,0.028150134048257374
0.9,0.63575,0.875,0.009530292716133424,0.018855218855218854
